ensembl_gene_id,gene_biotype,symbol,mean.CPM,min.CPM,max.CPM,express.in.libs
ENSG00000000005,protein_coding,,0,0,0,0
ENSG00000001617,protein_coding,,0.1412010591884064,0,0.9163080847694935,2
ENSG00000001626,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000002745,protein_coding,,0.037669806068304404,0,0.376698060683044,1
ENSG00000002746,protein_coding,,0,0,0,0
ENSG00000003137,protein_coding,,0.0372980404355516,0,0.372980404355516,1
ENSG00000003249,protein_coding,,0,0,0,0
ENSG00000003989,protein_coding,,0,0,0,0
ENSG00000004776,protein_coding,,0,0,0,0
ENSG00000004799,protein_coding,,0.1832616169538987,0,1.832616169538987,1
ENSG00000004809,protein_coding,,0.7703445082511464,0,7.330464678155948,2
ENSG00000004846,protein_coding,,0.186490202177758,0,1.86490202177758,1
ENSG00000004848,protein_coding,,0.17810380796399747,0,0.9914050142291405,2
ENSG00000004939,protein_coding,,0.09051070200623974,0,0.49570250711457026,2
ENSG00000004948,protein_coding,,0,0,0,0
ENSG00000005001,protein_coding,,0,0,0,0
ENSG00000005073,protein_coding,,0,0,0,0
ENSG00000005102,protein_coding,,0,0,0,0
ENSG00000005108,protein_coding,,0,0,0,0
ENSG00000005421,protein_coding,,0.09914050142291406,0,0.9914050142291405,1
ENSG00000005513,protein_coding,,0.3719585358542221,0,3.275236103582617,2
ENSG00000005981,protein_coding,,0.29742150426874214,0,2.9742150426874217,1
ENSG00000006047,protein_coding,,0.07753260245933416,0,0.7753260245933415,1
ENSG00000006059,protein_coding,,0,0,0,0
ENSG00000006071,protein_coding,,0,0,0,0
ENSG00000006116,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000006128,protein_coding,,0.54223278645049,0,5.4223278645049,1
ENSG00000006210,protein_coding,,0.14008095271769677,0,0.9914050142291405,2
ENSG00000006283,protein_coding,,0.09914050142291406,0,0.9914050142291405,1
ENSG00000006377,protein_coding,,0.04929388967731727,0,0.4929388967731727,1
ENSG00000006468,protein_coding,,0.3350913103370466,0,2.9742150426874217,2
ENSG00000006555,protein_coding,,1.1956012878667468,0,6.141067694217408,2
ENSG00000006606,protein_coding,,0,0,0,0
ENSG00000006611,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000006659,protein_coding,,0,0,0,0
ENSG00000006788,protein_coding,,0.09914050142291406,0,0.9914050142291405,1
ENSG00000007001,protein_coding,,0,0,0,0
ENSG00000007171,protein_coding,,0,0,0,0
ENSG00000007174,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000007216,protein_coding,,0.09163080847694935,0,0.9163080847694935,1
ENSG00000007306,protein_coding,,0.0372980404355516,0,0.372980404355516,1
ENSG00000007314,protein_coding,,0,0,0,0
ENSG00000007350,protein_coding,,0.4094045129478271,0,4.094045129478271,1
ENSG00000007372,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000007402,protein_coding,,0,0,0,0
ENSG00000007516,protein_coding,,0,0,0,0
ENSG00000007866,protein_coding,,0.20722375088113268,0,2.0722375088113267,1
ENSG00000007908,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000008118,protein_coding,,0.14871075213437107,0,1.4871075213437108,1
ENSG00000008196,protein_coding,,0,0,0,0
ENSG00000008197,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000008300,protein_coding,,0.22493558496483063,0,1.3330477648788126,2
ENSG00000009709,protein_coding,,0.09914050142291406,0,0.9914050142291405,1
ENSG00000009765,protein_coding,,0,0,0,0
ENSG00000009950,protein_coding,,0,0,0,0
ENSG00000010282,protein_coding,,0,0,0,0
ENSG00000010310,protein_coding,,0.24519889779453605,0,1.3330477648788126,2
ENSG00000010319,protein_coding,,0,0,0,0
ENSG00000010379,protein_coding,,0.04957025071145703,0,0.49570250711457026,1
ENSG00000010438,protein_coding,,0,0,0,0
